,created_at,sentiment,text
78,Tue Nov 13 06:28:40 +0000 2018,0.0,"The Krassenstiens are even more Narcissistic than Trump, I am totally disgusted! Are there more thieves like this o… https://t.co/OShLHAvN25"
79,Tue Nov 13 06:28:40 +0000 2018,-0.3,"@Jarlent Sorry but ""No better than Maga"" is  all your toys out of the pram.  Join the democrats  and get active. In… https://t.co/pJef4IV7dr"
80,Tue Nov 13 06:28:39 +0000 2018,0.0,Is Trump a  GOPRepublican??....I thought they're now  known as the T tumpParty or Trumpites..... https://t.co/Za5nNqOEIa
81,Tue Nov 13 06:28:39 +0000 2018,-0.3,@AndrewGillum Ridiculous Trump soon to be if his behaviour continues as President Grump
82,Tue Nov 13 06:28:38 +0000 2018,0.1,"Sen. Sherrod Brown, fresh off reelection, says he’s weighing a White House bid - The Ohio Democrat said his Senate… https://t.co/sge7QyRmz6"
83,Tue Nov 13 06:28:38 +0000 2018,0.0,Trump stays home and tweets on Veterans Day https://t.co/gBSt40U15F via @msnbc
84,Tue Nov 13 06:28:35 +0000 2018,0.0,Report: Trump Gearing Up to Fire Homeland Security Secretary Kirstjen Nielsen https://t.co/ycYhOJfWSE via… https://t.co/rdia3Z9gYC
85,Tue Nov 13 06:28:35 +0000 2018,0.0,@rocmommy @SethAbramson And everyone idicted had zero to do with Trump. It was their dealings prior. She will conti… https://t.co/WBDtKkhwjb
86,Tue Nov 13 06:28:34 +0000 2018,0.5,Top senator says Democrats will seek $720 million in wildfire relief for California - Sen. Patrick Leahy dismissed… https://t.co/ZTGcewnbIN
87,Tue Nov 13 06:28:34 +0000 2018,-0.8,Trump names Laura Ingraham to run Homeland Security but will still be on Fox to spread hate... https://t.co/2vr2hgz2zA
88,Tue Nov 13 06:28:34 +0000 2018,0.2,"@MarianneK @FrancisTheSailr LOL at ""schooling you."" Your lame deflections don't change the fact that trump is wrong… https://t.co/Fr7s0AVRZn"
89,Tue Nov 13 06:28:33 +0000 2018,0.8,"#LOL -- Melania Trump hasn’t asked for the help of Michelle Obama.
 https://t.co/999FcwSVug"
90,Tue Nov 13 06:28:32 +0000 2018,0.0,Is #Trump affecting #OPEC policy? #Oil has fallen as Trump criticised #SaudiArabia's plans to cut output. Size of a… https://t.co/b7iCWt8nRG
91,Tue Nov 13 06:28:27 +0000 2018,0.0,"Trump hates refugees, but we don’t have to. https://t.co/hSo4tI7Uhg"
92,Tue Nov 13 06:28:27 +0000 2018,0.0,@VixulusVPG @thedailybeast @MalcolmNance @mtomasky You’re out of your 4chan playground. Trump doesn’t want either a… https://t.co/GEqtFuX3px
